comment_id	user_id	media_id	parent_comment_id	content	timestamp	deleted	tag	upvotes	downvotes	user_vote_type	username	profile_picture_url	is_mod	is_admin	reply_count	total_votes	changes
17007	6943135	30002		no lies!  i used to watch OP with my friend in dorm room and i dropped it after 900+ episodes. its good anime but DEFINITELY NOT the best.  at the end  its our personal opinion and people should watch what they enjoy😆	2024-10-28T15:45:40.000Z			0	0		ikr	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6943135-mW7Oi8b4G6zF.png			0	3	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
15600	6265279	30002		it is not funny	2024-09-24T09:14:19.000Z			0	0		Prathamvijaybimala	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	-1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
15134	6889446	30002		more chapters ≠ Better story	2024-09-07T12:47:32.000Z			0	0		Azaan123	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
15107	6775392	30002		Rest in peace 三浦 建太郎.	2024-09-06T17:51:40.000Z			0	0		Malumick	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6775392-dgqEHIspz6q8.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
15102	6355293	30002		his assistant is the lazy one bro	2024-09-06T15:17:23.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
15063	6889446	30002		author is dead	2024-09-05T14:10:28.000Z			0	0		Azaan123	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
14861	6355293	30002		lazy author fr	2024-08-30T14:50:59.000Z			0	0		ZeyadM7md	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6355293-YNLr3uonyu9A.jpg			0	15	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
14711	6636444	30002		how the hell does these manga came before one piece and one piece have triple amount of chapters	2024-08-24T06:26:12.000Z			0	0		Benemaru	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	2	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
12810	778172	30002		damn I was living my life comfortably but then I read this	2024-07-04T14:53:51.000Z			0	0		magicman00	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b778172-ahtlH5dYkoal.jpg			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
12602	6285647	30002		the peak	2024-06-30T15:31:01.000Z			0	0		9ixe	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6285647-v4FoYQQBItAT.jpg			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
12496	5905435	30002		when's the next chapter gonna come out?	2024-06-27T17:48:39.000Z			0	0		atrv0o0	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5905435-1bTwZlOeadRM.jpg			0	6	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
11900	6194321	30002		I'm touring 80 when this manga finishes	2024-06-08T21:55:38.000Z			0	0		Hapsan	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6194321-uXElCwdDdm95.png			0	6	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
11107	6749278	30002		Donovan my beloved	2024-05-13T02:20:50.000Z			0	0		Unsaintlygrimm	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
6358	6749278	30002		Donovan my beloved	2024-05-13T02:20:50.000Z			1	0		Unsaintlygrimm	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
11016	5720622	30002		absolutely 💯	2024-05-10T11:11:00.000Z			0	0		SHARIQ	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5720622-MTYiQRouLv8h.jpg			0	3	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
6224	6542329	30002		chadserk 🗿	2024-05-10T10:47:48.000Z			3	0		RafTzu	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6542329-QqaKVwvDRpP4.jpg			0	8	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
11014	6542329	30002		chadserk 🗿	2024-05-10T10:47:48.000Z			0	0		RafTzu	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6542329-QqaKVwvDRpP4.jpg			0	8	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
10968	6138579	30002		🐏	2024-05-08T21:06:21.000Z			0	0		Watermelonloverboy	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6138579-AfrxdVEOZL9c.jpg			0	-5	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
23840	6300741	30002		🐐	2024-05-07T20:42:16.000Z			0	0		Cryptorial	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6300741-hpaCPYCJTwLk.jpg			0	2	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
6133	6300741	30002		🐐 	2024-05-07T20:42:16.000Z			3	0		Cryptorial	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6300741-hpaCPYCJTwLk.jpg			0	2	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
10939	6300741	30002		🐐	2024-05-07T20:42:10.000Z			0	0		Cryptorial	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6300741-hpaCPYCJTwLk.jpg			0	2	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
5901	5559024	30002		🐐	2024-05-02T18:26:16.000Z			0	1		Taikagi	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5559024-SevaY41M99pN.png			0	-1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
10753	5559024	30002		🐐	2024-05-02T18:26:16.000Z			0	0		Taikagi	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5559024-SevaY41M99pN.png			0	-1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
10540	6455906	30002		new berk	2024-04-26T14:30:43.000Z			0	0		lftvrs	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6455906-EZmuqlM4mRtc.jpg			0	24	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
5624	6455906	30002		new berk 	2024-04-26T14:30:43.000Z			0	0		lftvrs	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6455906-EZmuqlM4mRtc.jpg			0	24	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
2335	6506062	30002		actually goated	2024-04-08T03:53:23.000Z			2	1		s4isho	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6506062-sUGgFloxkLXh.jpg			0	1	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
